RAISON SOCIALE;ADRESSE;ADRESSE Suite;CODE POSTAL;VILLE;Site Internet;Mail principal;;;;;;;;;;;;;;;;;;;
ARTIGAS;605 Avenue de Toulouse; ;31260;MAZERES SUR SALAT;http://www.artigas.fr;artigas.sa@wanadoo.fr;;;;;;;;;;;;;;;;;;;
ARTORIS;20 Chemin de la Cépière;;31100;TOULOUSE;;http://www.artoris.com;;;;;;;;;;;;;;;;;;;
ASEPT INMED;9 Avenue Mercure;Ecoparc 1;31130;QUINT FONSEGRIVES;http://www.aseptinmed.fr;communication@aseptinmed.fr;;;;;;;;;;;;;;;;;;;
ASFO GRAND SUD;14 Avenue de l'Europe;Villa Carmel;31520;RAMONVILLE SAINT-AGNE;http://www.asfograndsud.com;contact@groupelfc.com;;;;;;;;;;;;;;;;;;;
ASI MAINTENANCE;135 Avenue du Comminges; ;31270;CUGNAUX;;http://www.atlantic-air-industries.com;;;;;;;;;;;;;;;;;;;
ASO;5 Route de Seysses; ;31100;TOULOUSE;http://www.aso31.fr;info@aso31.fr;;;;;;;;;;;;;;;;;;;
ASSISTANCE AERONAUTIQUE ET AEROSPATIALE - Usine de Lanne;ZI Pyrène Aéropôle ;;65380;LANNE;;http://www.aaa-aero.com;;;;;;;;;;;;;;;;;;;
ASSYSTEM;13 Rue Marie-Louise Dissard - BP 13015;ZAC de Saint-Martin-du-Touch ;31024;TOULOUSE   ;;http://www.assystem.com;;;;;;;;;;;;;;;;;;;
ATCHIK ;9 Rue Ritay; ;31000;TOULOUSE;http://www.atchik.com;editorial@atchik-services.com;;;;;;;;;;;;;;;;;;;
ATECA;4 Chemin du Quart;Verlhaguet ;82000;MONTAUBAN;http://www.ateca-fr.com;contact@ateca-fr.com;;;;;;;;;;;;;;;;;;;
ATELIER CLOZEAU;4 Allées du Piot;;30660;GALLARGUES LE MONTUEUX;;http://www.clozeau.fr;;;;;;;;;;;;;;;;;;;
ATELIER NIMOIS DE METALLISATION;620 Avenue Pavlov;ZI Saint-Cézaire;30900;NIMES;;http://www.a-n-m.fr;;;;;;;;;;;;;;;;;;;
ATELIER SOUS-TRAITANCE DU COMMINGES;1016 Avenue René Dreyfus; ;31800;ST GAUDENS;http://www.asc-sa.fr;contact@asc-sa.fr;;;;;;;;;;;;;;;;;;;
ATELIERS D'OCCITANIE ;6 Rue des Corbières;BP 112;11100;NARBONNE;www.ateliers-occitanie.fr;direction@ateliers-occitanie.fr;;;;;;;;;;;;;;;;;;;
ATOS INTEGRATION;6 Impasse Alice Guy;BP 43045 ;31024;TOULOUSE   ;;http://www.atos.net;;;;;;;;;;;;;;;;;;;
ATR;1 Allée Pierre Nadot;;31712;BLAGNAC;http://www.atraircraft.com;contact@atr-aircraft.com;;;;;;;;;;;;;;;;;;;
AUBERT & DUVAL;75 boulevard de la Libération;BP 173 ;09102;PAMIERS ;;http://www.aubertduval.fr;;;;;;;;;;;;;;;;;;;
AUDIT PLUS CONSEIL;25 Bis Avenue Marcel Dassault;BP 55062 ;31033;TOULOUSE;www.auditplusconseil.com;accueil@auditplusconseil.com;;;;;;;;;;;;;;;;;;;
AURA AERO;Aéroport Toulouse Francazal;135 Avenue du Comminges;31270;CUGNAUX;www.aura-aero.com;contact@aura-aero.com;;;;;;;;;;;;;;;;;;;
AURIAN PHILIPPE;ZI route de Nérac;Chemin Ecluse Autièges ;32100;CONDOM;;http://www.aurian.fr;;;;;;;;;;;;;;;;;;;
AURIAN SAS;ZI Route de Nérac;Chemin Ecluse Autièges ;32100;CONDOM;http://www.aurian.fr;aurian@aurian.fr;;;;;;;;;;;;;;;;;;;
AURIOL FRAPPE A FROID;300 Route  de Montauban; ;31660;BESSIERES;;http://www.auriol-frappe.com;;;;;;;;;;;;;;;;;;;
AUTO SAINT CYPRIEN;57 Allée Charles de Fitte; ;31300;TOULOUSE;;http://www.autosaintcyprien.com;;;;;;;;;;;;;;;;;;;
AUTOCARS TESTE; ZA Hers Sud;BP 40025 ;31290;VILLEFRANCHE DE LAURAGAIS;;http://www.autocars-teste.com;;;;;;;;;;;;;;;;;;;
AUTODISTRIBUTION C.A.C (Comptoir Automobile du Comminges);26 Rue de la Résidence - BP 24; ;31801;ST GAUDENS;;http://www.autodistribution.com;;;;;;;;;;;;;;;;;;;
AUTONEUM FRANCE ;Digue de la Cartonnerie;BP 308 ;82202;MOISSAC;;http://www.autoneum.com;;;;;;;;;;;;;;;;;;;
AVANTIS ENGINEERING GROUPE; ZI de l'Aiguille; ;46100;FIGEAC;;http://www.avantis-group.com;;;;;;;;;;;;;;;;;;;
AVERPEAUX;4 Rue de la Ferronnerie;B.P. 168 ;81205;MAZAMET;http://www.averpeaux.fr;info@averpeaux.fr;;;;;;;;;;;;;;;;;;;
AXSENS BTE;11 Rue de Tocqueville; ;31200;TOULOUSE;http://www.axsens.com;contact@axsens.com;;;;;;;;;;;;;;;;;;;
AXYLIS;417 Rue du Lieutenant de Montcabrier;;34535;BÉZIERS;www.axylis.fr;;;;;;;;;;;;;;;;;;;;
AZENCO GROUPE;ZA de Masquère;;31220;CAZERES;http://www.azenco.fr;contact@azenco.fr;;;;;;;;;;;;;;;;;;;
B.J. FLEX;3 Rue Emile Dewoitine;Z.A Dewoitine ;31700;CORNEBARRIEU;http://www.bjflex.com;s.quintana@bjflex.com;;;;;;;;;;;;;;;;;;;
B&D TECHNOLOGIES;ZI des Clergous;23 Rue Jean Rostand ;81600;GAILLAC;http://www.bd-technologies.fr;contact@bd-technologies.fr;;;;;;;;;;;;;;;;;;;
BADIE VITRAGE;17 Chemin Le Belvédère;;66380;PIA;;http://www.badie-vitrage.fr;;;;;;;;;;;;;;;;;;;
BALNÉA;;;65510;GÉNOS-LOUDENVIELLE;http://www.balnea.fr;c.bourg@balnea.fr;;;;;;;;;;;;;;;;;;;
BANCAREL HOUSSES;5 Boulevard des Balquières; ;12850;ONET LE CHATEAU;http://www.bancarel.com;contact@bancarel.com;;;;;;;;;;;;;;;;;;;
BARGUES AGRO INDUSTRIE;Courtès; ;46340;LAVERCANTIERE;http://www.bargues.com;bargues@bargues.com;;;;;;;;;;;;;;;;;;;
BASEBIO;270 Impasse Daguerre;ZI Albasud ;82000;MONTAUBAN;;http://www.basebio.com;;;;;;;;;;;;;;;;;;;
BASF HEALTH AND CARE PRODUCTS;Usine d'Estarac; ;31360;BOUSSENS;http://www.basf.com;contact@basf.com;;;;;;;;;;;;;;;;;;;
BASTIDE MANUTENTION;3 Avenue Gutemberg; ;31150;BRUGUIERES;http://www.fenwick-bastidemanutention.com;contact@bastide-manut.fr;;;;;;;;;;;;;;;;;;;
BASTIE;28 Rue Merigonde; ;81100;CASTRES;http://www.bastie-production.fr;contact@bastie-pro.fr;;;;;;;;;;;;;;;;;;;
BATILANG BSO;Z.A. Preignan; ;32810;PREIGNAN;;http://www.langloisconstruction.fr;;;;;;;;;;;;;;;;;;;
BATILANG BSO - Langlois Constructions;Z.A. Preignan;;32810;PREIGNAN;http://www.langloisconstructions.fr;contact@langloisconstructions.com;;;;;;;;;;;;;;;;;;;
BATTAIA PREFA;Impasse Fourneyron;Z.I Nord ;82000;MONTAUBAN;http://www.battaia.com;contact@battaia.com;;;;;;;;;;;;;;;;;;;
BATTUT;Cayrac;ZI les Plaines ;82440;REALVILLE;http://www.menuiserie-battut.com;contact@menuiserie-battut.com;;;;;;;;;;;;;;;;;;;
BAURES PRODUITS METALLURGIQUES (ETS);21 Avenue de Nimes ;BP 31166;34070;MONTPELLIER ;;www.prolians.fr;;;;;;;;;;;;;;;;;;;
BCBIO;Agroparc2 - ZI du Mouliot;2 allée Dominique Serres;32000;AUCH;;http://www.les-ptits-chefs-du-bio.com;;;;;;;;;;;;;;;;;;;
BEC CONSTRUCTION LANGUEDOC ROUSSILLON;1111 Avenue Justin Bec;;34680;SAINT-GEORGES D'ORQUES;beclanguedocroussillon.fayat.com;becconstruction34@beclanguedoc.fayat.com;;;;;;;;;;;;;;;;;;;
BEEGUARD;414 Rue de la découverte;Innopolis - Hall B;31670;LABEGE;https://beeguard.fr;contact@beeguard.fr;;;;;;;;;;;;;;;;;;;
BEEI DM;160 Rue de la Sur;ZAC de Garossos;31700;BEAUZELLE;;www.groupe-esr.com;;;;;;;;;;;;;;;;;;;
BELIN PROMOTION;81 Boulevard Carnot;BP 98509 ;31685;TOULOUSE;http://www.belinpromotion.com;belin.promotion@belinpromotion.com;;;;;;;;;;;;;;;;;;;
BENNE ;1 Rue Jean Foucault;ZI de Mélou ;81100;CASTRES;http://www.benne-sa.fr;benne@benne-sa.fr;;;;;;;;;;;;;;;;;;;
BENOI RENE ET FILS;894 Chemin de la Madeleine;;30140;BOISSET ET GAUJAC;http://www.benoi-tp.com;contact@benoi-tp.com;;;;;;;;;;;;;;;;;;;
BERDOUES PARFUMS ET COSMETIQUES;131 Route de Toulouse;;31270;CUGNAUX;http://www.groupe-berdoues.fr;parfums-berdoues@parfumsberdoues.com;;;;;;;;;;;;;;;;;;;
BERGER LEVRAULT;892 Rue Yves Kermen;;92100;BOULOGNE-BILLANCOURT;http://www.berger-levrault.com;courrier@berger-levrault.fr;;;;;;;;;;;;;;;;;;;
BERNARD PAGES;881 Avenue La Pyrénéenne; ;31670;LABEGE;;http://www.bernardpages.com;;;;;;;;;;;;;;;;;;;
BESSAC TPC;Le Rivet; ;81120;REALMONT;;http://www.bessac-tpc.fr;;;;;;;;;;;;;;;;;;;
BESSIERE;Avenue de Poilhes;;34310;CAPESTANG;;http://www.bessiere-tp.com;;;;;;;;;;;;;;;;;;;
BETEM INGENIERIE;ZAC de Montblanc;6 Impasse Alphonse Brémond ;31201;TOULOUSE;http://www.betem.fr;betem@betem.fr;;;;;;;;;;;;;;;;;;;
BETTEGA & FILS;14 Avenue Clément Ader; ;31770;COLOMIERS;;http://www.bettegaetfils.fr;;;;;;;;;;;;;;;;;;;
BIANCHINI INTERNATIONAL;59 Route départementale 820;"











































































";31790;SAINT JORY;http://bianchini.fr;contact@bianchini.fr;;;;;;;;;;;;;;;;;;;
BICEGE;87 avenue des Pyrénées;BP 90025 ;31241;L UNION;;http://www.bicege.fr;;;;;;;;;;;;;;;;;;;
BIGORRE SOUDURE;6 Rue de l'Adour; ;65600;SEMEAC;;http://www.soudure.fr;;;;;;;;;;;;;;;;;;;
BiGso;3 Rue Jules Raimu;;31200;TOULOUSE;http://www.bigso.fr;contact@bigso.fr;;;;;;;;;;;;;;;;;;;
BIJOUTERIE PUJOL;3 Place Jeanne d'Arc; ;31000;TOULOUSE;http://www.bijouteriepujol.fr;contact@bijouteriepujol.fr;;;;;;;;;;;;;;;;;;;
BIO-UV GROUP;850 Avenue Louis Médard;;34403;LUNEL;http//www.bio-uv.com;contact@bio-uv.com;;;;;;;;;;;;;;;;;;;
BIOMEGA SERVICES;9 Rue Matabiau; ;31000;TOULOUSE;;http://www.biomega.fr;;;;;;;;;;;;;;;;;;;
BIOTRADE;65 Allées Campferran; ;31320;AUZEVILLE TOLOSANE;;http://www.biotrade.fr;;;;;;;;;;;;;;;;;;;
BIOVIVA;10 Rue de la Vieille;;34000;MONTPELLIER;http://www.bioviva.com;bioviva@bioviva.com;;;;;;;;;;;;;;;;;;;
BIPA SUD;24 Chemin Garrabot - BP 70095;ZI en Jacca ;31772;COLOMIERS;;;;;;;;;;;;;;;;;;;;;
BIS REPETITA;10 Rue Apollo; ;31240;L UNION;;http://www.bisrepetita.com;;;;;;;;;;;;;;;;;;;
BLANC AERO INDUSTRIES;18 Rue Jean Vaurs;;12200;VILLEFRANCHE DE ROUERGUE;;http://www.lisi-aerospace.com;;;;;;;;;;;;;;;;;;;
BLEU LIBELLULE;1 Allée du Piot;;30660;GALLARGUES LE MONTUEUX;;http://www.bleulibellule.com;;;;;;;;;;;;;;;;;;;
BLUE-WHALE;MIN;BP 417 ;82004;MONTAUBAN;http://www.blue-whale.com;contact@blue-whale.com;;;;;;;;;;;;;;;;;;;
BMW MINI PELRAS;145 Rue Nicolas Vauquelin; ;31100;TOULOUSE;http://www.pelras.fr;contact@pelras.fr;;;;;;;;;;;;;;;;;;;
BOIS ARIEGEOIS;12 Voie Latérale; ;09000;ST PAUL DE JARRAT;;www.bois-ariegeois.fr;;;;;;;;;;;;;;;;;;;
BOIS DU SEGALA;ZA de Merlin;;12800;NAUCELLE;http://www.sylva-bois.fr;bs@sylva-bois.fr;;;;;;;;;;;;;;;;;;;
BOISSONNADE;ZI des Landes;;12850;ONET LE CHATEAU;http://www.groupe-climater.com;boissonnade@groupe-climater.com;;;;;;;;;;;;;;;;;;;
BOLLORÉ LOGISTICS;40-42 Avenue Jean Monnet;;31770;COLOMIERS;http//bolloré-logistics.com;;;;;;;;;;;;;;;;;;;;
BONABRI 32;Chemin de la Ribère; ;32160;PLAISANCE;;http://www.bonabri.com;;;;;;;;;;;;;;;;;;;
BONADEI;4 Rue Colomies;BP 88452 ;31084;TOULOUSE ;http://www.bonadei.fr;info@bonadei.fr;;;;;;;;;;;;;;;;;;;
BONCOLAC (groupe);183 Avenue des Etats-Unis;BP 92057 ;31018;TOULOUSE   ;;http://www.boncolac.fr;;;;;;;;;;;;;;;;;;;
BONNET ET FILS;Belcastel; ;46100;FIGEAC;;http://www.bonnet-noyerdefrance.fr;;;;;;;;;;;;;;;;;;;
BOOSTEC (Société du Groupe Mersen);Zone Industrielle; ;65460;BAZET;;http://www.mersen.com;;;;;;;;;;;;;;;;;;;
BORCHERS SAS;1 Rue Albert Calmette; ;81100;CASTRES;http://www.borchers.com;info@borchers.com;;;;;;;;;;;;;;;;;;;
BOREAL;1 ter Rue de l'Industrie;;31320;CASTANET TOLOSAN;https//www.boreal-uas.com;contact@boreal-uas.com;;;;;;;;;;;;;;;;;;;
BOSTON STORAGE;37 Rue Laganne; ;31300;TOULOUSE;http://www.boston-storage.com;contact@boston-storage.com;;;;;;;;;;;;;;;;;;;
BOURDARIOS;60 Boulevard de Thibaud;BP 48484 ;31084;TOULOUSE   ;;http://www.vinci-construction.fr;;;;;;;;;;;;;;;;;;;
BOURDARIOS SAS;60 Boulevard de Thibaud;BP 48484 ;31084;TOULOUSE;http://www.vinci-construction.fr;sophie.guyon@vinci-construction.fr;;;;;;;;;;;;;;;;;;;
BOURRIE;169 Avenue du Danemark;;82000;MONTAUBAN ;http//www.groupe-climater.com;bourrie@groupe-climater.com;;;;;;;;;;;;;;;;;;;
BOUSQUET;143 avenue de Rodez; ;12450;LA PRIMAUBE;;http://www.bousquetviande.fr;;;;;;;;;;;;;;;;;;;
BOUTIQUE.AERO;6 Allée Henry Potez; ;31700;BLAGNAC;;http://www.boutique.aero;;;;;;;;;;;;;;;;;;;
BOUTTIER;3 Rue Van Gogh;ZI d'Engachies ;32020;AUCH;;http://www.bouttier.fr;;;;;;;;;;;;;;;;;;;
BOUYER INDUSTRIE;1270 Avenue de Toulouse; ;82000;MONTAUBAN;www.bouyer.com;service.commercial@bouyer.com;;;;;;;;;;;;;;;;;;;
BOUYER SYSTEMES ;1270 Avenue de Toulouse ;;82000;MONTAUBAN ;www.bouyer.com;bouyerfrance@bouyer.com;;;;;;;;;;;;;;;;;;;
BOYER;100 Rue François Charmeux;ZI Borde Rouge ;82200;MOISSAC;http://www.philibon.com;philibon-moissac@wanadoo.fr;;;;;;;;;;;;;;;;;;;
BRAKE FRANCE SERVICE;10 Avenue du Petit Paradis; ;31150;BRUGUIERES;;http://www.brake.fr;;;;;;;;;;;;;;;;;;;
BRALEY SARL (Rouergue Loca Benne);Bezonnes; ;12340;RODELLE;http://www.braley-france.com;bezonnes@braley-france.com;;;;;;;;;;;;;;;;;;;
BRASSAC INDUSTRIES sas;ZA de Saint Agnan; ;81260;BRASSAC;;http://www.brassacind.com;;;;;;;;;;;;;;;;;;;
BRASSERIE D'OLT;16 ZA de la Salle;;12130;SAINT-GENIEZ D'OLT ET D'AUBRAC;http://brasseriedolt.com;direction@brasseriedolt.com;;;;;;;;;;;;;;;;;;;
BRIANÇON;Zi Chemin des Anguillaires;;31410;NOE;;http://www.briancon-production.com;;;;;;;;;;;;;;;;;;;
BRIANE ENVIRONNEMENT;8 Rue Clément Ader; ;81160;ST JUERY;http://www.briane-environnement.com;contact@briane-environnement.com;;;;;;;;;;;;;;;;;;;
BRIANE JEAN;Chemin Du Pré de Bouques; ;12170;LEDERGUES;http://www.briane-jean.fr;briane-jean@orange.fr;;;;;;;;;;;;;;;;;;;
BRICE ROBERT SUD-OUEST-ARTHUR LOYD;18 Boulevard Lazare Carnot ;BP67131;31071;TOULOUSE;http://www.arthur-loyd-31.com;contact@arthur-loyd-31.com;;;;;;;;;;;;;;;;;;;
BRICO PRIVE;9-11 Rue de Kourou;ZA de Montredon;31240;L UNION;;http://www.bricoprive.com;;;;;;;;;;;;;;;;;;;
BRINGER IP;1 Place du Président Thomas Wilson;;31000;TOULOUSE;http//www.bringer-ip.com;contact@bringer-ip.com;;;;;;;;;;;;;;;;;;;
BRIQUETERIE BARTHE;146 Pechedes; ;31430;GRATENS;;;;;;;;;;;;;;;;;;;;;
BRL;1105 Avenue Pierre Mendès France;BP 94001;30001;NIMES ;;http://www.brl.fr;;;;;;;;;;;;;;;;;;;
BROUGH SUPERIOR MOTORCYCLES;20 Rue Jean Monnet; ;31240;SAINT-JEAN;www.broughsuperiormotorcycles.com;info@broughsuperiormotorcycles.com;;;;;;;;;;;;;;;;;;;
BROWN EUROPE;;;46130;LAVAL DE CERE;http://www.brown-europe.com;sales.be@brown-europe.com;;;;;;;;;;;;;;;;;;;
BRUNERIE & IRISSOU ARCHITECTES;2 Rue de la Poudrières;CS70097;81012;ALBI;http://www.brunerie-irissou.com;contact@brunerie-irissou.com;;;;;;;;;;;;;;;;;;;
BRUNO FLAUJAC COIFFURE;66 Chemin de Nicol; ;31200;TOULOUSE;http://www.brunoflaujac.com;accueil@brunoflaujac.com;;;;;;;;;;;;;;;;;;;
BRUNO SAINT HILAIRE GROUPE;20 Avenue Prat Gimont;BP 13267 ;31132;BALMA;;http://www.bruno-saint-hilaire.com;;;;;;;;;;;;;;;;;;;
BTPMP;CS 10009; ;31141;ST ALBAN;;;;;;;;;;;;;;;;;;;;;
BTPSF;3 Rue de la Bastide;;65360;SAINT MARTIN ;;;;;;;;;;;;;;;;;;;;;
BUESA;6 Rue René Gomez ;;34500;VILLENEUVE-LES-BEZIERS;;http://www.buesa.com;;;;;;;;;;;;;;;;;;;
BUGBUSTERS;99 Route d'Espagne ;Bâtiment C;31100;TOULOUSE;;http://www.bugbusters.fr;;;;;;;;;;;;;;;;;;;
BUREAU VERITAS CONSTRUCTION-OCCITANIE ;12 Rue Michel Labrousse - Bât. 15;BP 64797;31047;TOULOUSE;http://construction.bureauveritas.fr;;;;;;;;;;;;;;;;;;;;
BUREAU VERITAS EXPLOITATION OCCITANIE ;12 Rue Michel Labrousse - Bat 15;BP 64797 ;31047;TOULOUSE   ;;http://www.bureauveritas.fr;;;;;;;;;;;;;;;;;;;
BUREAU VERITAS EXPLOITATION SUD-OUEST;12 Rue Michel Labrousse - Bat 15;BP 64797 ;31047;TOULOUSE;www.bureauveritas.fr;;;;;;;;;;;;;;;;;;;;
BUREAUTIQUE CONSEIL MIDI-PYRENEES / PERRET BUREAUTIQUE;200 Rue des Tours;Quartier Bouysset ;31670;LABEGE;;http://www.bcmp.fr;;;;;;;;;;;;;;;;;;;
BUREAUX DEBOUT ;116 Rue d'Espagne ;Hélios 2;31100;TOULOUSE ;;http://www.bureauxdebout.fr;;;;;;;;;;;;;;;;;;;
BUREAUX EVOLUTION;3 Rue du Crieu;ZA de Gabrielat;09100;PAMIERS;;bureaux@bureaux.fr;;;;;;;;;;;;;;;;;;;
BV SCOP;ZA du Pic;2 Rue des Cheminots ;09100;PAMIERS;http://www.bvscop.com;bronceray@bvscop.fr;;;;;;;;;;;;;;;;;;;
BVA;75  Rue Saint Jean; ;31130;BALMA;;http://www.bva.fr;;;;;;;;;;;;;;;;;;;
BYG INFORMATIQUE;13 Rue d'Ariane; ;31240;L UNION;;http://www.byg-info.com;;;;;;;;;;;;;;;;;;;
C & N TRAITEUR;4 Impasse de Loewy; ;31140;AUCAMVILLE;http://www.c-et-n-traiteur.fr;contact@c-et-n-traiteur.fr;;;;;;;;;;;;;;;;;;;
C.M.P.C.;Route de Cahors  -  Cambes; ;46100;FIGEAC;;http://www.cmpc-sa.com;;;;;;;;;;;;;;;;;;;
C2R (Commercialisation Recherche Réalisation);83 Route de Belberaud;;31450;POMPERTUZAT;;http://www.c2r.fr;;;;;;;;;;;;;;;;;;;
C3L;ZI de Mélou - 15 rue de Mélou; ;81100;CASTRES;;c3l@c3l-liants.fr;;;;;;;;;;;;;;;;;;;
CA IMMOBILIER OCCITANIE;78 Chemin des Sept-Deniers;;31204;TOULOUSE   ;;http://www.ca.immobilier.fr;;;;;;;;;;;;;;;;;;;
CABASSE GROUP;93 Place Pierre Duhem;;34000;MONTPELLIER;"http://www.cabassegroup.com ; www.cabasse.com ; www.diohome.com ; www.chacon.com";contact@cabassegroup .com;;;;;;;;;;;;;;;;;;;
CABINET IPSIDE;6 Impasse Michel Labrousse;;31100;TOULOUSE;;http://www.ipside.com;;;;;;;;;;;;;;;;;;;
CAHORS GROUPE; ZI Regourd;CS 10203 ;46004;CAHORS;;http://www.groupe-cahors.com;;;;;;;;;;;;;;;;;;;
CAISSERIE DE L'ARMAGNAC;Le Fouresté - Route de Nérac;BP 20014 ;32100;CONDOM;;http://www.cartonnagesdegascogne.com;;;;;;;;;;;;;;;;;;;
CAISSERIE DE L'ARMAGNAC (CARTONNAGES DE GASCOGNE);Le Fouresté - Route de Nérac;BP 20014 ;32100;CONDOM;http://www.cartonnagesdegascogne.com;contact@cartonnagesdegascogne.com;;;;;;;;;;;;;;;;;;;
CALBERSON MÉDITERRANÉE;Rue du Traité de Rome;;34430;SAINT-JEAN-DE-VEDAS;;http://www.geodis.com;;;;;;;;;;;;;;;;;;;
CALLIMEDIA;1 Chemin de Borie;Parc de Bellegarde - Bât. A;34170;CASTELNAU LE LEZ;http://www.callimedia.fr;contact@callimedia.fr;;;;;;;;;;;;;;;;;;;
CALLISTO FRANCE;12 Avenue de Borde Blanche; ;31290;VILLEFRANCHE DE LAURAGAIS;http://www.callisto-space.com;admin@callisto-space.com;;;;;;;;;;;;;;;;;;;
CALVET ETS;Route de Montauban; ;12200;VILLEFRANCHE DE ROUERGUE;;http://www.calvetagri.com;;;;;;;;;;;;;;;;;;;
CAMERON France ;Avenue Joseph Lazare;Plaine Saint-Pierre ;34500;BÉZIERS;https://www.slb.com/companies/cameron;;;;;;;;;;;;;;;;;;;;
CAMINEL ;1950 Avenue de l'Europe;;82000;MONTAUBAN;http://www.ruralmaster.fr;contact@ruralmaster.fr;;;;;;;;;;;;;;;;;;;
CAMPUS CESI MONTPELLIER;Immeuble le Quatrième;Zone Aéroportuaire de Montpellier Méditerranée;34130;MAUGIO;http://www.montpellier.cesi.fr;contact@cesi.fr;;;;;;;;;;;;;;;;;;;
CAMPUS CESI TOULOUSE;16 Rue Magellan;;31670;LABEGE;http://www.toulouse.cesi.fr;contact@cesi.fr;;;;;;;;;;;;;;;;;;;
CANCELA TP (SCOP);97 Avenue Victor Pilhes; ;09400;TARASCON SUR ARIEGE;;http://www.scopcancela.com;;;;;;;;;;;;;;;;;;;
CANETTI CONSTRUCTION;1550 route d'Auch; ;82000;MONTAUBAN;;http://www.canetti-batiments.fr;;;;;;;;;;;;;;;;;;;
CAPA;BP 27076; ;09270;MAZERES;http://www.capa09.com;cooperative@capa09.com;;;;;;;;;;;;;;;;;;;
CAPADOC;15 Rue Marclan; ;31600;MURET;;http://capadoc.eu;;;;;;;;;;;;;;;;;;;
CAPCIR;3 Chemin de Micas;;31320;MERVILLA;http://www.capcir.fr;contact@capcir.fr;;;;;;;;;;;;;;;;;;;
"CAPEL ""LA QUERCYNOISE""";267 Avenue Pierre Sémard;BP 119 ;46002;CAHORS;www.capel.fr;"www.capel.fr onglet ""Nous contacter""";;;;;;;;;;;;;;;;;;;
CAPGEMINI DIVISION AEROSPATIALE ET DEFENSE;109 Avenue du Général Eisenhower; ;31100;TOULOUSE;;http://www.fr-capgemini.com;;;;;;;;;;;;;;;;;;;
CAPITOLE ENERGIE;62 route d'Albi;;31200;TOULOUSE;http://www.capitole-energie.com;info@capitole-energie.com;;;;;;;;;;;;;;;;;;;
CAPITOLE FINANCE-TOFINSO;2839  La Lauragaise;BP 28208 ;31682;LABEGE;;http://www.capitole-finance.com;;;;;;;;;;;;;;;;;;;
CAPLASER;13, avenue de la Montagne Noire;Le Causse;81100;CASTRES;http://www.caplaser.fr;contact@caplaser.fr;;;;;;;;;;;;;;;;;;;
CAPLASER TOULOUSE;50 Rue Jean Bart;Technopôle Bât.5;31670;LABEGE;http://www.caplaser.fr;contact@caplaser.fr;;;;;;;;;;;;;;;;;;;
CAPTELS;745 Avenue de la République de Montferrand;;34270;ST-MATHIEU DE TREVIERS;;http://www.pesage-captels.com;;;;;;;;;;;;;;;;;;;
CARCELLES;55 Chemin des Meules; ;81100;CASTRES;;http://www.carcelles.com;;;;;;;;;;;;;;;;;;;
CARIF;ZAC de la Violette;Chemin de la Violette BP 24131;31240;L UNION;;http://www.carif-sa.com;;;;;;;;;;;;;;;;;;;
CARIF SAS;ZAC de la Violette;Chemin de la Violette BP 24131;31240;L UNION;http://www.carif-sa.com;;;;;;;;;;;;;;;;;;;;
CARLE (Groupe);17 Boulevard Lazare Carnot;;31000;TOULOUSE;http://www.groupe-carle.com;toulouse@groupe-carle.com;;;;;;;;;;;;;;;;;;;
CARRE ET ARTEL;7 impasse Denis Papin;ZI de Pahin ;31170;TOURNEFEUILLE;;http://www.carre-sa.com;;;;;;;;;;;;;;;;;;;
CARRERE;18 Boulevard Lazare Carnot ;;31000;TOULOUSE;http://www.carrere-promotion.com;;;;;;;;;;;;;;;;;;;;
CARRIER RESTAURATION;Courbies;;12300;ALMONT LES JUNIES;;http://www.maisoncarrier.fr;;;;;;;;;;;;;;;;;;;
CARRIERES BERNADETS;Route de Boussens; ;31420;AURIGNAC;;;;;;;;;;;;;;;;;;;;;
CARROSSERIE ARTIERES;6296 Rue de Vinnac;ZI Millau Viaduc ;12100;MILLAU;www.artieres.com;contact@artieres.com;;;;;;;;;;;;;;;;;;;
CARROSSERIE MOLETTA-OBRADO;856 Rue du Pasteur L. Lafon; ;82000;MONTAUBAN;;http://www.moletta-obrado.com;;;;;;;;;;;;;;;;;;;
CARSALADE MOBILIER;Route de Lannemezan; ;31230;L ISLE JOURDAIN;;http://www.carsalade.com;;;;;;;;;;;;;;;;;;;
CARTE NOIRE OPERATIONS SAS;Route de Saint-Georges d'Orques;;34880;LAVERUNE;www.cartenoire.fr;Accueil.Laverune@cartenoire.com;;;;;;;;;;;;;;;;;;;
CARTONNAGES D'AUCH;5 Rue Marcel Luquet;ZI Engachies - BP 30517 ;32021;AUCH;;http://www.cartonnages-auch.com;;;;;;;;;;;;;;;;;;;
CARTOON ;1 Rue Firmin Boissin; ;31500;TOULOUSE;http://www.cartoon.design;caroline.rossi@cartoon.design;;;;;;;;;;;;;;;;;;;
CASOL (GROUPE) ;26 Chemin de la Glacière;;31200;TOULOUSE;http//groupe-casol.fr;contact@groupe-casol.fr;;;;;;;;;;;;;;;;;;;
CASSAGNE ELECTRICITE TRAVAUX PUBLICS;105 Avenue de Boulogne;;31800;ST GAUDENS;;;;;;;;;;;;;;;;;;;;;
CASTEL ET FROMAGET;35 Avenue Clément Fayat;BP 22 ;32501;FLEURANCE;http://www.casteletfromaget.fayat.com;infos@castel.fayat.com;;;;;;;;;;;;;;;;;;;
